timestamp,value1,value2,value3,value4
0.0,0.6015860047551991,0.795373384642379,0.5170348928273283,0.11801580948786639
0.0625,0.639561121305371,0.8455813295479292,0.5496727204370534,0.12546555746178795
0.125,0.6799334170877726,0.8989586509756422,0.5843708109146424,0.13338557077656332
0.1875,0.7228542140414382,0.9557054158184797,0.6212592183536292,0.14180553493183387
0.25,0.768484386302804,1.0160343201920212,0.6604762065122021,0.1507570093244059
0.3125,0.8169949631881686,1.0801714866541425,0.7021687670482848,0.16027354553800902
0.375,0.8685677702394217,1.1483573117491852,0.7464931704682077,0.17039081310009582
0.4375,0.9233961107357852,1.2208473670533526,0.7936155518540133,0.18114673317703936
0.5,0.9816854902259816,1.2979133570985955,0.8437125335647979,0.19258162070883997
0.5625,1.0436543867964967,1.3798441377654442,0.8969718872460758,0.2047383355160855
0.625,1.1095350699630255,1.4669467989618878,0.9535932376284844,0.2176624429455384
0.6875,1.1795744712544416,1.559547815646357,1.0137888107537825,0.23140238465647553
0.75,1.2540351097523783,1.6579942715090332,1.077784229432615,0.24600966018791554
0.8125,1.3331960760554973,1.762655159898041,1.1458193589155488,0.2615390199872777
0.875,1.4173540783565006,1.8739227668666047,1.2181492059470929,0.2780486706239746
0.9375,1.5068245545527548,1.9922141415250592,1.2950448745725032,0.295600492957113
1.0,1.6019428545588974,2.1179726592088284,1.3767945822798924,0.31426027407503077
