timestamp,a,b,c,d
0.0,0.664308451111228,0.05813391164608683,0.5197823118472769,0.5246126930499585
0.0625,0.7062429220876243,0.061803614818746064,0.5525935702826362,0.5577288692987371
0.125,0.7508245065444056,0.06570496800417941,0.5874760394067277,0.5929355041732198
0.1875,0.7982203035200212,0.06985259410944324,0.6245604643942774,0.6303645578741544
0.25,0.8486079601797225,0.07426203911260185,0.6639858437091661,0.6701563205899603
0.3125,0.9021763376660675,0.07894983033158484,0.7058999500933072,0.7124599383272016
0.375,0.9591262189812381,0.08393353837126613,0.7504598844429472,0.7574339719341061
0.4375,1.0196710615544287,0.08923184298095231,0.7978326646484082,0.8052469914124466
0.5,1.084037797315052,0.09486460306912492,0.848195851604339,0.8560782077453573
0.5625,1.1524676832705645,0.10085293113786344,0.9017382147368629,0.910118144609283
0.625,1.2252172057770188,0.10721927241594106,0.9586604395421273,0.967569352487744
0.6875,1.302559041891693,0.11398748898719735,1.0191758797882242,1.028647167863533
0.75,1.3847830814111062,0.12118294922951418,1.0835113571998558,1.0935805203349185
0.8125,1.4721975134251823,0.12883262289962727,1.1519080116230966,1.1626127906810602
0.875,1.565129981460147,0.13696518222016624,1.2246222048568045,1.2360027230928021
0.9375,1.6639288115398188,0.14561110934781424,1.3019264815383902,1.3140253949880352
1.0,1.76896431776827,0.15480281062539503,1.3841105906855011,1.3969732480466548
