timestamp,a,b,c,d
0.0,0.21402095638151464,0.6064687916102675,0.007914580357996748,0.1779719706173516
0.0625,0.22753102925309776,0.6447521340806656,0.008414188243095292,0.1892064512625719
0.125,0.24189392547469957,0.6854521125445076,0.008945333875940683,0.20115010849852175
0.1875,0.25716347952028995,0.7287212771488796,0.009510008076859438,0.21384770909749093
0.25,0.27339692416500827,0.7747218077689026,0.010110327336711189,0.22734684573427005
0.3125,0.2906551050029244,0.8236261218843146,0.010748541749841082,0.24169811537124586
0.375,0.309002708506234,0.8756175208282619,0.0114270434477998,0.25695530890405577
0.4375,0.32850850448069,0.9308908768305459,0.012148375565442163,0.2731756127786243
0.5,0.3492456038260336,0.9896533634304742,0.0129152417730107,0.29041982333527494
0.5625,0.37129173256755194,1.052125231997023,0.013730516409932,0.3087525746833142
0.625,0.3947295231858787,1.118540637266835,0.014597255258308958,0.32824258096019837
0.6875,0.41964682433698725,1.189148514994304,0.01551870699648971,0.3489628938833109
0.75,0.44613703012325956,1.2642135150033194,0.016498325375643122,0.37099117655969494
0.8125,0.4742994301497903,1.3440169931379038,0.017539782164980595,0.3944099945800257
0.875,0.5042395816779959,1.428858065829734,0.018646980914144996,0.4193071254878898
0.9375,0.5360697052714194,1.519054731235236,0.0198240715843504,0.4457758877843128
1.0,0.5699091054166777,1.6149450611444602,0.02107546610311252,0.47391549070069755
